CODPROD;DESCRICAO;EMBALAGEM
1501;BRASLIXO SACO P/ LIXO ROLL 100 LT;10X1X25UN
3400;V.FERTIL-AZ.BALDE PRETA PREMIUM AZAPA ;2,0KG
3401;V.FERTIL-AZ.VDE M.REINA LA REINA;12X500GR
4153;BUNGE-AZEITE ANDORINHA E.V. VD PORT. ;12X250ML
524;V.FERTIL-AZEITONA VERDE S/CAROCO ;VD 280GR
3670;CILINDRO MESTRE;1PC
354;V.FERTIL-AZEITONA VERDE VD;12X360GR
3325;BUNGE-DISPLAY CHAO MAIONESE PRIMOR;1UN
3402;PVM-FRUITTELLA MAST. MORANGO NAT.STICK;16X10UN
3403;PVM-FRUITTELLA SM MAST. MORANGO NATURAL;BAG C/3UN
3659;LEITOR LASER OPR 3201 TECLADO;1UN
3707;GEO LIMPA VIDROS REF.521;12X500ML
683;B.VISTA-BISC.TUCS TRAD. DIN CRACKER ;30X100GR
3664;ROUPEIRO ACO C/20 PORTAS COR CINZA;1UN
3350;SUCO UVA ROSE INTEGRAL ALIANCA ;2LT
3379;BUNGE-MARG.DELICIA MILA C/SAL R.114537;12X500GR
3380;BUNGE-MARG.PRIMOR C/SAL R.114634 ;12X500GR
634;TOSCANO-VINAGRE DE ALCOOL CLARO FR;12X750ML
2956;SUCO UVA BRANCO INTEGRAL ALIANCA ;6X1,5LT
2958;PVM-MENTOS P.FRESH BLAST RED EMB.INDIVID;120GR
686;B.VISTA-BISC.TUCS SALAMINHO DIN CRACKER ;30X100GR
2399;DAFRUTA TP NECTAR INF.GOIABA ;15X200ML
631;V.FERTIL-AZEITONA VERDE FATIADA ;VD 180GR
522;V.FERTIL-AZEITONA VERDE PREMIUM GORDAL ;VD 360GR
569;V.FERTIL-AZEITONA VERDE LIGHT ;VD 200GR
536;V.FERTIL-AZ.BALDE VERDE MEDIA ;2,0KG
553;V.FERTIL-AZ.BALDE VERDE MIUDA ;2,0KG
3395;V.STA COLINA ESTILO TANNAT TTO SECO;6X750ML
3423;B.VISTA-WAFER CHOC.CEREJA (F.NEGRA);40X140GR
3424;B.VISTA-WAFER FLOCOS;40X140GR
3425;B.VISTA-WAFER DOCE DE LEITE;40X140GR
3360;TV COLOR SEMP 14  1452AV;1UN
507;TOSCANO-VINAGRE DE ARROZ;12X750ML
724;PAN-DRAGEADOS CONHAQ BOMBONS R.1112;12X50GR
726;PAN-DRAGEADOS PASSAS COB.CHOC. R.8812;12X50GR
728;PAN-CHOC. DIET C/AVELA DISPLAY R.8121;12X30GR
729;PAN-CHOC. DIET C/ CAJU DISPLAY R.8120;12X30GR
1417;DAFRUTA LIGHT NECTAR PESSEGO;1LT
1418;DAFRUTA LIGHT NECTAR MANGA ;1LT
2388;LINHACA EM GRAOS M. BRASILIA;12X200GR
2389;FARINHA DE LINHACA M. BRASILIA;12X150GR
3366;PVM-MENTOS KIT COPO BLAST ASSORTED;KIT 1X1UN
1507;GEO-SAB.BARRA.GLIC.RALADO NEUTRO SAC 1KG;12X1KG
3367;PVM-MENTOS KIT COPO POCKET BOTTLE;KIT 1X2UN
2393;DAFRUTA TP NECTAR INF.CAJU;15X200ML
2394;DAFRUTA TP NECTAR INF.LARANJA;15X200ML
2395;DAFRUTA TP NECTAR INF.MANGA ;15X200ML
2396;DAFRUTA TP NECTAR INF.MARACUJA ;15X200ML
2397;DAFRUTA TP NECTAR INF.UVA ;15X200ML
2398;DAFRUTA TP NECTAR INF.PESSEGO ;15X200ML
3368;PVM-MENTOS KIT COPO PURE FRESH F.TOP ;36X1X3UN
3369;PVM-MENTOS KIT COPO STICK ;KIT 1X5UN
3374;LEITOR METROL. ECLIPSE TECL. PRETO MK  ;1UN
3394;V.STA COLINA ESTILO MERLOT TTO SECO;6X750ML
